Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
0.996424,-0.0075,-0.064999,0.075001,0.060001,0.02,-0.032501,0.961269,2,3
0.996424,0.049999,0.09,0.162498,0.067497,0.024998,0.057499,0.822827,1,2
0.999552,0.072502,-0.024998,-0.029999,0,-0.067501,-0.049999,0.822827,24,4
0.999552,0.045002,-0.044998,-0.022499,-0.005001,-0.077499,-0.0275,0.822827,23,4
0.999552,0.02,-0.0825,-0.052502,-0.120003,-0.052502,-0.025002,0.822827,22,4
0.999552,-0.002499,-0.07,-0.052502,-0.125,-0.047501,-0.022499,0.822827,21,4
0.999552,0.102501,0.029999,-0.037502,0.029999,0.0825,0.105,0.822827,20,4
0.999552,0.095001,0.044998,-0.0275,0.049999,0.0975,-0.0075,0.822827,19,4
0.999552,0.077503,-0.0625,0.005001,0.057503,-0.024998,-0.017498,0.822827,18,4
0.999552,0.095001,-0.0275,0.049999,0.0975,0,0.017498,0.822827,17,4
0.999552,0.135002,0.0625,0.115002,0.032501,0.057499,0.040001,0.822827,16,4
0.999552,0.130001,0.084999,0.1325,0.035,0.035,-0.005001,0.822827,15,4
0.999552,0.147503,0.127502,0.045002,0.07,0.012501,0.017502,0.822827,14,4
0.999552,0.147503,0.150002,0.052502,0.052502,0.017502,0,0.822827,13,4
0.999552,0.107502,0.005001,0.029999,-0.0275,-0.040001,-0.040001,0.822827,12,4
0.999552,0.132504,0.037502,0.037502,0.002502,-0.014999,0.025002,0.822827,11,4
0.999552,0.142502,0.064999,0.0075,-0.005001,0.035,0.009998,0.822827,10,4
0.999552,0.175003,0.080002,0.045002,0.0275,0.0425,0.032501,0.822827,9,4
0.999552,0.162502,0.0275,0.014999,0.055,0.02,-0.012501,0.822827,8,4
0.999552,0.110001,-0.02,-0.037502,-0.022503,-0.065002,-0.052502,0.822827,7,4
0.999552,0.095001,-0.052502,-0.012501,-0.047501,-0.067501,-0.014999,0.822827,6,4
0.999552,0.280003,0.1325,0.147499,0.105,0.170002,0.185001,0.822827,5,3
0.999552,0.357502,0.25,0.215,0.195,0.262501,0.077499,0.822827,4,2
0.999552,0.3475,0.214996,0.172497,0.237499,0.067497,-0.010002,0.822827,3,2
0.999552,0.327503,0.185001,0.165001,0.232502,-0.029999,-0.019997,0.822827,2,2
0.999552,0.3475,0.172497,0.237499,0.067497,0,0.019997,0.72462,1,2
0.997243,0.389999,0.445,0.282501,0.122498,0.110001,0.044998,0.72462,24,4
0.997243,0.330002,0.325001,0.160004,-0.012497,-0.014999,-0.059998,0.72462,23,4
0.997243,0.330002,0.222504,0.0625,0.050003,-0.059998,0,0.72462,22,4
0.997243,0.310001,0.140003,-0.032497,-0.035,-0.02,-0.02,0.72462,21,4
0.997243,0.247501,-0.02,-0.032497,-0.142498,-0.0825,-0.0625,0.72462,20,4
0.997243,0.275002,-0.067497,-0.07,-0.055,-0.035,0.0275,0.72462,19,4
0.997243,0.209999,-0.07,-0.18,-0.120003,-0.037502,-0.065002,0.72462,18,4
0.997243,0.215,-0.130001,-0.115002,-0.095001,-0.060001,0.005001,0.72462,17,4
0.997243,0.147499,-0.2425,-0.182503,-0.100002,-0.0625,-0.067501,0.72462,16,4
0.997243,0.147499,-0.182503,-0.162502,-0.127502,-0.067501,0,0.72462,15,4
0.997243,0.1675,-0.162502,-0.080002,-0.0425,0.02,0.02,0.72462,14,4
